PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
NH0000116,,,2821,Plastics Materials And Resins
NH0000230,322121,Paper [Except Newsprint] Mills,2621,Paper Mills
NH0000311,,,2621,Paper Mills
NH0000361,,,4911,Electric Services
NH0000370,,,4911,Electric Services
NH0000388,,,4911,Electric Services
NH0000621,,,0921,Fish Hatcheries And Preserves
NH0000655,,,2611,Pulp Mills
NH0000710,,,0921,Fish Hatcheries And Preserves
NH0000736,,,0921,Fish Hatcheries And Preserves
NH0000744,,,0921,Fish Hatcheries And Preserves
NH0000752,,,0921,Fish Hatcheries And Preserves
NH0000973,,,2035,"Pickles, Sauces, And Salad Dressings"
NH0001023,331524,Aluminum Foundries [Except Die-Casting],3365,Aluminum Foundries
NH0001180,,,2621,Paper Mills
NH0001392,,,4911,Electric Services
NH0001406,,,4911,Electric Services
NH0001422,,,4911,Electric Services
NH0001431,,,4911,Electric Services
NH0001465,221112,Fossil Fuel Electric Power Generation,4911,Electric Services
NH0001473,221112,Fossil Fuel Electric Power Generation,4911,Electric Services
NH0001481,,,4911,Electric Services
NH0001490,,,3357,Nonferrous Wiredrawing & Insulating
NH0001562,,,2621,Paper Mills
NH0001601,,,4911,Electric Services
NH0001619,,,9711,National Security
NH0001620,112511,Finfish Farming and Fish Hatcheries,0273,Animal Aquaculture
NH0001621,221310,Water Supply and Irrigation Systems,4941,Water Supply
NH0020338,,,4911,Electric Services
NH0020494,,,5171,Petroleum Bulk Stations & Terminals
NH0020923,,,2092,Fresh Or Frozen Prepared Fish
NH0020966,,,9512,"Land, Mineral, Wildlife Conservation"
NH0021415,,,4911,Electric Services
NH0021423,221117,Biomass Electric Power Generation,4911,Electric Services
NH0021652,,,4911,Electric Services
NH0022021,,,4911,Electric Services
NH0022055,,,8734,Testing Laboratories
NH0022438,,,3965,"Fasteners, Buttons, Needles, & Pins"
NH0022942,,,4911,Electric Services
NH0022985,,,8734,Testing Laboratories
NH0023302,,,7999,Amusement And Recreation
NH0023361,221112,Fossil Fuel Electric Power Generation,4911,Electric Services
NH0023400,,,4911,Electric Services
NH0023442,,,5171,Petroleum Bulk Stations & Terminals
NH0023469,,,1429,Crushed And Broken Stone
NH0023523,,,4953,Refuse Systems
NH0023540,112120,Dairy Cattle and Milk Production,0241,Dairy Farms
NH0023558,,,3612,"Transformers, Except Electronic"
